text1,text2,class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Полицейским разрешат стрелять на поражение по гражданам с травматикой.,Полиции могут разрешить стрелять по хулиганам с травматикой.,0,3.0,0.40089186286863654,9.0,3.7416573867739413,0.3651483716701108,14.0,1.3502382773412516,0.5509825955089316,13.301454175345553,71.748291015625,0.7887039184570312,976.7534244842827,1.0758937965767081,0.4212262692438783,3.178168801382723
Право полицейских на проникновение в жилище решили ограничить.,Правила внесудебного проникновения полицейских в жилище уточнят.,0,3.0,0.3086066999241838,9.0,4.123105625617661,0.2611164839335468,17.0,1.022668735864806,0.7322128455091423,4.86366034460958,72.76631927490234,0.601265549659729,975.3340970054269,1.1935344263380503,0.2877377865729507,3.5364406862540134
Президент Египта ввел чрезвычайное положение в мятежных городах.,Власти Египта угрожают ввести в стране чрезвычайное положение.,0,2.8284271247461903,0.4285714285714285,8.0,4.123105625617661,0.37062465833055064,17.0,1.314963360265922,0.33464763939931463,13.643393400231037,84.05229949951172,0.6077595949172974,1123.0614369809628,1.0706415137039904,0.42686337456681395,3.0299232458324203
Вернувшихся из Сирии россиян волнует вопрос трудоустройства на родине.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,-1,3.1622776601683795,0.3779644730092272,10.0,4.358898943540674,0.24019223070763074,19.0,1.5021440046280088,0.7320073817415104,15.234191875144973,94.06753540039062,0.6341410279273987,1321.738400183618,1.2623610073568863,0.20322234355245394,3.9549341147982164
В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,0,3.1622776601683795,0.3779644730092272,10.0,4.898979485566356,0.20180183819889375,24.0,2.0339958316293427,0.6244741098406256,24.367385405552213,67.91136169433594,0.7937169075012207,955.0879322513938,1.2323130992893654,0.24070221265991945,3.7614648347056727
Приставы соберут отпечатки пальцев российских должников.,Приставы снимут отпечатки пальцев у злостных неплательщиков.,1,2.449489742783178,0.5000000000000001,6.0,3.605551275463989,0.4351941398892446,13.0,0.9053371257819025,0.5384580735093714,9.759747511936636,53.680877685546875,0.7558373212814331,736.7606472074986,1.0067646909054204,0.4932124285730565,2.506693936971903
На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,Саратовский дебошир отказывается возвращаться домой из Египта.,-1,4.0,0.0,16.0,4.795831523312719,0.08058229640253803,23.0,2.141540573490677,0.08863489375530001,23.541624911621938,115.99789428710938,0.30422353744506836,1610.7420230731368,1.414213562373095,0.0,5.440805449016977
ЦИК хочет отказаться от электронной системы подсчета голосов.,ЦИК может отказаться от электронных средств подсчета голосов.,0,2.449489742783178,0.6249999999999999,6.0,3.605551275463989,0.521749194749951,13.0,0.9170584295330412,0.8224364828600208,11.203557126687741,43.462032318115234,0.9135469198226929,611.4575365558267,0.8713040465551276,0.6204146292283301,2.141933211473998
Суд Петербурга оставил на потом дело о гибели подростка в полиции.,"Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.",-1,4.69041575982343,0.0,20.0,4.898979485566356,0.07715167498104597,24.0,2.508500947739732,0.1102051693432387,25.38043669753313,150.4631805419922,0.30542105436325073,2084.780885115266,1.4142135623730951,0.0,5.7932325504705044
Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.,Обама продлил полномочия НАСА по сотрудничеству с Россией.,-1,4.0,0.0,16.0,5.0990195135927845,0.07216878364870323,26.0,2.006056685283172,0.10029401059312136,22.074074476488008,128.2942657470703,0.35412368178367615,1842.915285654366,1.414213562373095,0.0,5.441300100414534
